I_m[mA],U_34[mV]
0,0.02
70,0.012
140,0.004
250,-0.008
350,-0.021
470,-0.036
590,-0.050
710,-0.063
840,-0.077
950,-0.085
1100,-0.095
1270,-0.104
1420,-0.110
1500,-0.113
