I_m[mA],U_34[mV]
0,0.031
70,0.02
140,0.008
300,-0.02
460,-0.05
590,-0.073
750,-0.099
900,-0.12
1040,-0.135
1130,-0.144
1320,-0.157
1470,-0.166
