I_m[mA],U_34[mV]
0,0.016
70,0.01
140,0.003
310,-0.014
420,-0.026
530,-0.037
660,-0.05
880,-0.068
1030,-0.077
1160,-0.084
1300,-0.089
1420,-0.093
1500,-0.096
