I_m[mA],U_34[mV]
0,0.009
70,0.005
140,0
270,-0.007
370,-0.013
520,-0.023
680,-0.032
810,-0.039
950,-0.046
1070,-0.050
1170,-0.052
1270,-0.055
1420,-0.058
1500,-0.060
