I_m[mA],U_34[mV]
0,0.013
70,0.007
140,0.001
300,-0.011
430,-0.022
570,-0.034
740,-0.046
900,-0.056
1040,-0.063
1150,-0.068
1290,-0.072
1400,-0.075
1500,-0.078
