I_m[mA],U_34[mV]
0,0.002
70,0.001
150,0.000
230,-0.002
410,-0.007
620,-0.011
780,-0.015
1050,-0.019
1160,-0.020
1290,-0.021
1400,-0.022
1580,-0.023
