I_m[mA],U_34[mV]
0,0.028
70,0.018
140,0.007
260,-0.012
410,-0.037
540,-0.057
670,-0.077
810,-0.097
950,-0.113
1080,-0.124
1250,-0.136
1360,-0.143
1490,-0.150
