I_m[mA],U_34[mV]
0,0.006
70,0.002
140,0
240,-0.004
310,-0.007
450,-0.012
570,-0.018
720,-0.024
850,-0.029
940,-0.032
1100,-0.035
1200,-0.038
1310,-0.040
1440,-0.041
1510,-0.042
