hv, мэВ	U
1226.91	0.127777777777778
1240.34	0.154285714285714
1253.77	0.208823529411765
1267.2	0.258461538461538
1280.63	0.34375
1294.06	0.426229508196721
1307.49	0.525423728813559
1321	0.620689655172414
1334.35	0.75
1347.78	0.87037037037037
1361.2	1.01923076923077
1374.6	1.12
1388.7	1.22916666666667
1401.5	1.37339055793991
1414.93	1.37777777777778
1441.79	1.30841121495327
1455.22	1.35
1468.65	1.33333333333333
1482.08	1.36698212407992
1495.51	1.31868131868132
1508.94	1.25
1522.37	1.25
1535.8	1.20253164556962
1549.23	1.01910828025478
1562.66	0.866666666666667
1576.09	0.680272108843537
1589.52	0.457746478873239
1602.95	0.318840579710145
1616.38	0.300751879699248
1629.81	0.3
1643.24	0.3046875
1656.67	0.30952380952381
