U, mV	I, uA
35	0.033
83	0.09
135	0.176
184	0.355
235	0.808
319	2.73
376	6.4
420	15
432	20.4
445	27.7
461	40.3
474	61
484	71
490	82
498	98
500	102
509	122
512	130
513	136
522	165
528	191
535	210
537	235
544	266
548	296
553	347
556	335
561	360
563	392
583	591
603	904
610	1031
620	1256
-110	-0.08
-237	-0.155
-580	-0.322
-880	-0.456
-2470	-0.9
-3201	-1
-3720	-1.2
-4320	-1.31
-5100	-1.44
-6224	-1.65
