,Канал: 0,Канал: 1
37631,0.586,-1.846
37773,0.566,-1.709
37915,0.596,-1.582
38057,0.537,-1.445
38199,0.654,-1.289
38341,0.576,-1.143
38483,0.566,-0.967
38625,0.488,-0.791
38767,0.586,-0.654
38909,0.547,-0.527
39051,0.576,-0.361
39193,0.439,-0.215
39335,0.459,-0.088
39477,0.508,0.049
39619,0.576,0.195
39761,0.469,0.322
39903,0.410,0.469
40045,0.449,0.576
40187,0.400,0.693
40329,0.400,0.811
40471,0.439,0.918
40613,0.352,1.006
40755,0.313,1.113
40897,0.205,1.221
41039,0.254,1.289
41181,0.029,1.387
41323,0.039,1.455
41465,0.020,1.533
41607,-0.088,1.602
41750,-0.156,1.670
41892,-0.117,1.738
42034,-0.117,1.807
42176,-0.264,1.895
42318,-0.195,1.943
42460,-0.410,2.012
42602,-0.410,2.090
42744,-0.293,2.139
42886,-0.342,2.188
43028,-0.459,2.227
43170,-0.488,2.275
43312,-0.479,2.295
43454,-0.469,2.334
43596,-0.547,2.383
43738,-0.459,2.393
43880,-0.498,2.451
44022,-0.508,2.471
44164,-0.586,2.510
44306,-0.459,2.539
44448,-0.576,2.559
44590,-0.547,2.598
44732,-0.498,2.627
44874,-0.508,2.676
45016,-0.537,2.725
45158,-0.635,2.783
45300,-0.527,2.852
45442,-0.693,2.881
45584,-0.752,2.930
45726,-0.684,2.969
45868,-0.674,2.959
46010,-0.762,2.939
46152,-0.762,2.891
46294,-0.752,2.832
46436,-0.830,2.686
46578,-0.713,2.578
46720,-0.859,2.471
46862,-0.840,2.383
47004,-0.713,2.285
47146,-0.723,2.188
47288,-0.869,2.090
47430,-0.752,1.973
47572,-0.664,1.855
47714,-0.703,1.738
47856,-0.654,1.611
47998,-0.771,1.475
48140,-0.791,1.328
48282,-0.684,1.172
48424,-0.635,1.006
48566,-0.635,0.840
48708,-0.703,0.674
48850,-0.635,0.537
48992,-0.713,0.391
49134,-0.752,0.264
49276,-0.723,0.127
49418,-0.654,-0.020
49560,-0.732,-0.127
49702,-0.586,-0.293
49844,-0.674,-0.410
49986,-0.566,-0.547
50128,-0.605,-0.654
50270,-0.479,-0.781
50412,-0.508,-0.889
50554,-0.479,-1.006
50696,-0.391,-1.104
50838,-0.371,-1.182
50980,-0.293,-1.270
51122,-0.293,-1.357
51264,-0.293,-1.426
51406,-0.127,-1.514
51548,-0.088,-1.582
51690,-0.088,-1.650
51832,-0.117,-1.738
51974,-0.068,-1.797
52116,0.049,-1.855
52258,-0.068,-1.934
52400,0.029,-1.992
52542,0.186,-2.051
52684,0.137,-2.129
52826,0.127,-2.178
52968,0.303,-2.227
53110,0.225,-2.275
53252,0.176,-2.324
53394,0.303,-2.344
53536,0.371,-2.393
53678,0.332,-2.412
53820,0.273,-2.451
53962,0.361,-2.480
54104,0.420,-2.510
54246,0.410,-2.539
54388,0.410,-2.568
54530,0.381,-2.598
54672,0.420,-2.637
54814,0.381,-2.676
54956,0.420,-2.705
55098,0.469,-2.783
55240,0.527,-2.822
55382,0.508,-2.900
55524,0.479,-2.939
55666,0.527,-2.969
55808,0.469,-2.988
55950,0.557,-2.979
56092,0.547,-2.949
56234,0.557,-2.891
56376,0.547,-2.822
56518,0.527,-2.686
56660,0.625,-2.568
56802,0.645,-2.480
56944,0.664,-2.393
57086,0.547,-2.266
57228,0.703,-2.168
57370,0.547,-2.061
57512,0.635,-1.943
57654,0.605,-1.826
57796,0.586,-1.719
57938,0.498,-1.592
58080,0.527,-1.436
58222,0.518,-1.279
58364,0.557,-1.123
58506,0.596,-0.967
58648,0.449,-0.791
58790,0.566,-0.635
58932,0.537,-0.498
59074,0.479,-0.361
59216,0.498,-0.234
59358,0.488,-0.088
59500,0.566,0.049
59642,0.576,0.176
59784,0.391,0.332
59926,0.391,0.459
60068,0.361,0.586
60210,0.479,0.713
60352,0.293,0.811
60494,0.293,0.918
60636,0.361,1.025
60778,0.283,1.113
60920,0.273,1.211
61062,0.088,1.289
61204,0.156,1.377
61346,0.029,1.475
61488,-0.088,1.543
61630,-0.098,1.611
61772,-0.078,1.680
61914,-0.186,1.748
62056,-0.234,1.816
62198,-0.186,1.885
62340,-0.293,1.953
62482,-0.342,2.021
62624,-0.361,2.080
62766,-0.342,2.148
62908,-0.293,2.188
63050,-0.439,2.227
63192,-0.459,2.266
63334,-0.488,2.314
63476,-0.469,2.354
63618,-0.381,2.383
63760,-0.566,2.412
63902,-0.479,2.451
64044,-0.488,2.461
64186,-0.596,2.500
64328,-0.586,2.529
64470,-0.615,2.559
64612,-0.576,2.598
64754,-0.596,2.637
64896,-0.664,2.676
65038,-0.576,2.725
65180,-0.527,2.803
65322,-0.654,2.861
65464,-0.664,2.900
65606,-0.703,2.939
65748,-0.811,2.959
65890,-0.713,2.969
66032,-0.664,2.930
66174,-0.781,2.900
66316,-0.732,2.822
66458,-0.752,2.676
66600,-0.771,2.568
66742,-0.791,2.490
66884,-0.752,2.383
67026,-0.791,2.285
67168,-0.723,2.188
67310,-0.732,2.070
67452,-0.703,1.982
67594,-0.723,1.855
67736,-0.752,1.738
67878,-0.664,1.611
68020,-0.791,1.475
68162,-0.723,1.318
68304,-0.791,1.162
68446,-0.742,0.996
68588,-0.635,0.830
68730,-0.791,0.674
68872,-0.635,0.527
69014,-0.635,0.391
69156,-0.713,0.254
69298,-0.674,0.117
69440,-0.605,-0.029
69583,-0.723,-0.146
69725,-0.723,-0.273
69867,-0.645,-0.430
