,Канал: 0,Канал: 1
49500,0.54687500,-1.18164063
49750,0.56640625,-1.07421875
50000,0.54687500,-0.95703125
50250,0.53710938,-0.82031250
50500,0.51757813,-0.64453125
50750,0.50781250,-0.47851563
51000,0.47851563,-0.34179688
51250,0.43945313,-0.18554688
51500,0.42968750,-0.05859375
51750,0.41015625,0.09765625
52000,0.39062500,0.22460938
52250,0.35156250,0.34179688
52500,0.35156250,0.46875000
52750,0.29296875,0.58593750
53000,0.24414063,0.71289063
53250,0.22460938,0.78125000
53500,0.16601563,0.87890625
53750,0.11718750,0.93750000
54000,0.06835938,0.99609375
54250,0.00976563,1.08398438
54500,-0.02929688,1.15234375
54750,-0.10742188,1.20117188
55000,-0.13671875,1.25976563
55250,-0.20507813,1.29882813
55500,-0.25390625,1.31835938
55750,-0.31250000,1.37695313
56000,-0.35156250,1.38671875
56250,-0.38085938,1.42578125
56500,-0.38085938,1.45507813
56750,-0.43945313,1.49414063
57000,-0.45898438,1.53320313
57250,-0.48828125,1.57226563
57500,-0.47851563,1.62109375
57750,-0.55664063,1.67968750
58000,-0.56640625,1.67968750
58250,-0.63476563,1.64062500
58500,-0.62500000,1.53320313
58750,-0.64453125,1.43554688
59000,-0.64453125,1.34765625
59250,-0.63476563,1.25000000
59500,-0.61523438,1.15234375
59750,-0.60546875,1.06445313
60000,-0.63476563,0.92773438
60250,-0.61523438,0.77148438
60500,-0.59570313,0.61523438
60750,-0.56640625,0.44921875
61000,-0.59570313,0.30273438
61250,-0.57617188,0.15625000
61500,-0.54687500,0.02929688
61750,-0.51757813,-0.10742188
62000,-0.50781250,-0.24414063
62250,-0.46875000,-0.36132813
62500,-0.45898438,-0.49804688
62750,-0.41015625,-0.61523438
63000,-0.38085938,-0.72265625
63250,-0.34179688,-0.80078125
63500,-0.30273438,-0.87890625
63750,-0.27343750,-0.94726563
64000,-0.19531250,-1.02539063
64250,-0.11718750,-1.08398438
64500,-0.10742188,-1.15234375
64750,-0.01953125,-1.23046875
65000,0.00976563,-1.26953125
65250,0.08789063,-1.30859375
65500,0.12695313,-1.35742188
65750,0.18554688,-1.38671875
66000,0.21484375,-1.42578125
66250,0.25390625,-1.45507813
66500,0.28320313,-1.48437500
66750,0.30273438,-1.51367188
67000,0.39062500,-1.56250000
67250,0.39062500,-1.61132813
67500,0.40039063,-1.66015625
67750,0.45898438,-1.69921875
68000,0.50781250,-1.70898438
68250,0.50781250,-1.66992188
68500,0.53710938,-1.57226563
68750,0.55664063,-1.47460938
69000,0.58593750,-1.37695313
69250,0.56640625,-1.27929688
69500,0.54687500,-1.19140625
69750,0.52734375,-1.07421875
70000,0.52734375,-0.95703125
70250,0.51757813,-0.82031250
70500,0.52734375,-0.64453125
70750,0.46875000,-0.49804688
71000,0.46875000,-0.34179688
71250,0.46875000,-0.19531250
71500,0.45898438,-0.05859375
71750,0.41992188,0.08789063
72000,0.41015625,0.20507813
72250,0.36132813,0.33203125
72500,0.31250000,0.47851563
72750,0.32226563,0.58593750
73000,0.26367188,0.70312500
73250,0.19531250,0.78125000
73500,0.17578125,0.86914063
73750,0.12695313,0.93750000
74000,0.06835938,1.01562500
74250,0.01953125,1.07421875
74500,-0.04882813,1.14257813
74750,-0.10742188,1.21093750
75000,-0.16601563,1.25976563
75250,-0.19531250,1.29882813
75500,-0.26367188,1.33789063
75750,-0.30273438,1.36718750
76000,-0.34179688,1.39648438
76250,-0.36132813,1.39648438
76500,-0.41015625,1.45507813
76750,-0.42968750,1.47460938
77000,-0.50781250,1.51367188
77250,-0.50781250,1.56250000
77500,-0.49804688,1.62109375
77750,-0.51757813,1.66015625
78000,-0.58593750,1.66992188
78250,-0.60546875,1.63085938
78500,-0.62500000,1.51367188
78750,-0.62500000,1.43554688
79000,-0.65429688,1.34765625
79250,-0.60546875,1.25976563
79500,-0.62500000,1.15234375
79750,-0.60546875,1.04492188
80000,-0.60546875,0.91796875
80250,-0.58593750,0.78125000
80500,-0.59570313,0.61523438
80750,-0.59570313,0.43945313
81000,-0.55664063,0.30273438
81250,-0.55664063,0.16601563
81500,-0.54687500,0.01953125
81750,-0.53710938,-0.09765625
82000,-0.49804688,-0.24414063
82250,-0.48828125,-0.38085938
82500,-0.43945313,-0.49804688
82750,-0.40039063,-0.60546875
83000,-0.38085938,-0.72265625
83250,-0.37109375,-0.81054688
83500,-0.32226563,-0.86914063
83750,-0.24414063,-0.94726563
84000,-0.20507813,-1.00585938
84250,-0.14648438,-1.08398438
84500,-0.08789063,-1.15234375
84750,-0.04882813,-1.22070313
85000,-0.00976563,-1.25976563
85250,0.08789063,-1.30859375
85500,0.14648438,-1.33789063
85750,0.18554688,-1.38671875
86000,0.19531250,-1.41601563
86250,0.24414063,-1.45507813
86500,0.30273438,-1.48437500
86750,0.32226563,-1.51367188
87000,0.39062500,-1.55273438
87250,0.38085938,-1.60156250
87500,0.41992188,-1.66992188
87750,0.46875000,-1.70898438
88000,0.48828125,-1.70898438
88250,0.55664063,-1.67968750
88500,0.54687500,-1.56250000
88750,0.58593750,-1.48437500
89000,0.56640625,-1.38671875
89250,0.56640625,-1.28906250
89500,0.56640625,-1.21093750
89750,0.52734375,-1.07421875
90000,0.49804688,-0.94726563
90250,0.53710938,-0.81054688
90500,0.50781250,-0.66406250
90750,0.49804688,-0.49804688
91000,0.50781250,-0.34179688
91250,0.45898438,-0.20507813
91500,0.43945313,-0.05859375
91750,0.41015625,0.07812500
92000,0.38085938,0.19531250
92250,0.41015625,0.33203125
92500,0.34179688,0.46875000
92750,0.31250000,0.57617188
93000,0.29296875,0.68359375
93250,0.24414063,0.78125000
93500,0.15625000,0.85937500
93750,0.12695313,0.93750000
94000,0.04882813,0.99609375
94250,0.00976563,1.07421875
94500,-0.04882813,1.13281250
94750,-0.06835938,1.20117188
95000,-0.16601563,1.25000000
95250,-0.20507813,1.27929688
95500,-0.26367188,1.32812500
95750,-0.29296875,1.35742188
96000,-0.35156250,1.38671875
96250,-0.37109375,1.42578125
96500,-0.41992188,1.46484375
96750,-0.42968750,1.48437500
97000,-0.47851563,1.51367188
97250,-0.49804688,1.58203125
97500,-0.50781250,1.63085938
97750,-0.53710938,1.66992188
98000,-0.57617188,1.68945313
98250,-0.61523438,1.65039063
98500,-0.63476563,1.54296875
98750,-0.61523438,1.45507813
99000,-0.61523438,1.35742188
99250,-0.63476563,1.24023438
99500,-0.61523438,1.16210938
99750,-0.59570313,1.05468750
100000,-0.61523438,0.92773438
100250,-0.61523438,0.78125000
100500,-0.58593750,0.62500000
100750,-0.57617188,0.44921875
101000,-0.57617188,0.31250000
101250,-0.54687500,0.16601563
101500,-0.53710938,0.02929688
101750,-0.53710938,-0.10742188
102000,-0.50781250,-0.23437500
102250,-0.46875000,-0.36132813
102500,-0.44921875,-0.49804688
102750,-0.43945313,-0.61523438
103000,-0.39062500,-0.72265625
103250,-0.35156250,-0.82031250
103500,-0.31250000,-0.86914063
103750,-0.26367188,-0.95703125
104000,-0.17578125,-1.02539063
104250,-0.10742188,-1.08398438
104500,-0.09765625,-1.15234375
104750,-0.05859375,-1.22070313
105000,0.00976563,-1.25976563
105250,0.05859375,-1.30859375
105500,0.12695313,-1.35742188
105750,0.19531250,-1.38671875
106000,0.21484375,-1.42578125
106250,0.23437500,-1.46484375
106500,0.29296875,-1.47460938
106750,0.32226563,-1.52343750
107000,0.35156250,-1.57226563
107250,0.39062500,-1.62109375
107500,0.43945313,-1.67968750
107750,0.46875000,-1.70898438
108000,0.49804688,-1.71875000
108250,0.54687500,-1.66992188
108500,0.52734375,-1.58203125
108750,0.57617188,-1.47460938
109000,0.57617188,-1.38671875
109250,0.56640625,-1.28906250
109500,0.54687500,-1.19140625
109750,0.52734375,-1.07421875
110000,0.58593750,-0.96679688
110250,0.56640625,-0.82031250
110500,0.50781250,-0.66406250
110750,0.48828125,-0.49804688
111000,0.48828125,-0.35156250
111250,0.46875000,-0.20507813
111500,0.43945313,-0.04882813
111750,0.43945313,0.07812500
112000,0.41015625,0.20507813
112250,0.41015625,0.34179688
112500,0.32226563,0.46875000
112750,0.34179688,0.58593750
113000,0.25390625,0.69335938
113250,0.18554688,0.77148438
113500,0.16601563,0.85937500
113750,0.11718750,0.93750000
114000,0.05859375,1.00585938
114250,-0.01953125,1.05468750
114500,-0.00976563,1.13281250
114750,-0.11718750,1.19140625
115000,-0.15625000,1.23046875
115250,-0.20507813,1.27929688
115500,-0.28320313,1.32812500
115750,-0.29296875,1.36718750
116000,-0.37109375,1.39648438
116250,-0.35156250,1.42578125
116500,-0.43945313,1.44531250
