,Канал: 0,Канал: 1
43991,0.488,-1.816
44157,0.537,-1.699
44323,0.596,-1.543
44489,0.566,-1.367
44655,0.596,-1.201
44821,0.420,-1.006
44987,0.508,-0.820
45153,0.527,-0.635
45319,0.557,-0.469
45485,0.576,-0.293
45651,0.479,-0.146
45817,0.537,0.020
45983,0.459,0.186
46149,0.449,0.332
46315,0.400,0.488
46481,0.420,0.635
46647,0.332,0.781
46813,0.342,0.898
46979,0.303,1.006
47145,0.273,1.104
47311,0.225,1.230
47477,0.117,1.318
47643,0.068,1.416
47809,-0.088,1.494
47975,-0.059,1.592
48141,-0.137,1.689
48307,-0.195,1.748
48473,-0.283,1.826
48639,-0.283,1.904
48805,-0.361,1.982
48971,-0.410,2.070
49137,-0.283,2.129
49303,-0.410,2.178
49469,-0.381,2.236
49635,-0.449,2.295
49801,-0.430,2.344
49967,-0.430,2.354
50133,-0.566,2.393
50299,-0.498,2.432
50465,-0.576,2.451
50631,-0.557,2.490
50797,-0.596,2.529
50963,-0.596,2.568
51129,-0.586,2.617
51295,-0.527,2.676
51461,-0.596,2.754
51627,-0.752,2.822
51793,-0.645,2.881
51959,-0.654,2.920
52125,-0.654,2.949
52291,-0.713,2.939
52457,-0.742,2.881
52623,-0.732,2.813
52789,-0.762,2.666
52955,-0.762,2.539
53121,-0.752,2.402
53287,-0.742,2.324
53453,-0.850,2.207
53619,-0.752,2.090
53785,-0.732,1.953
53951,-0.732,1.826
54117,-0.732,1.699
54283,-0.635,1.543
54449,-0.723,1.377
54615,-0.723,1.201
54781,-0.732,1.006
54947,-0.693,0.820
55113,-0.723,0.635
55279,-0.713,0.459
55445,-0.742,0.303
55611,-0.693,0.156
55777,-0.645,-0.010
55943,-0.762,-0.156
56109,-0.527,-0.332
56275,-0.645,-0.469
56441,-0.703,-0.625
56607,-0.557,-0.762
56773,-0.537,-0.879
56939,-0.508,-1.006
57105,-0.449,-1.133
57271,-0.361,-1.221
57437,-0.498,-1.318
57603,-0.225,-1.406
57769,-0.146,-1.504
57935,-0.186,-1.611
58101,-0.098,-1.660
58267,0.039,-1.748
58433,-0.020,-1.846
58599,0.156,-1.914
58765,0.137,-1.982
58931,0.098,-2.061
59097,0.107,-2.129
59263,0.225,-2.188
59429,0.293,-2.236
59595,0.205,-2.295
59761,0.264,-2.354
59927,0.234,-2.373
60093,0.264,-2.412
60259,0.293,-2.451
60425,0.352,-2.490
60591,0.400,-2.520
60757,0.371,-2.568
60923,0.342,-2.598
61089,0.508,-2.627
61255,0.430,-2.686
61421,0.527,-2.725
61587,0.410,-2.783
61753,0.488,-2.861
61919,0.518,-2.920
62085,0.537,-2.939
62251,0.527,-2.939
62417,0.605,-2.910
62583,0.557,-2.861
62749,0.664,-2.725
62915,0.518,-2.598
63081,0.566,-2.490
63247,0.498,-2.373
63413,0.625,-2.266
63579,0.557,-2.129
63745,0.537,-2.002
63911,0.547,-1.895
64077,0.566,-1.748
64243,0.488,-1.602
64409,0.605,-1.465
64575,0.596,-1.279
64741,0.596,-1.084
64907,0.527,-0.889
65073,0.498,-0.713
65239,0.527,-0.527
65405,0.537,-0.381
65571,0.439,-0.215
65737,0.449,-0.059
65903,0.479,0.107
66069,0.479,0.264
66235,0.576,0.420
66401,0.400,0.566
66567,0.381,0.703
66733,0.361,0.830
66899,0.322,0.957
67065,0.215,1.074
67231,0.166,1.162
67397,0.156,1.260
67563,0.039,1.367
67729,-0.059,1.445
67895,-0.088,1.553
68061,-0.059,1.631
68227,-0.215,1.719
68393,-0.244,1.797
68559,-0.254,1.865
68725,-0.303,1.934
68891,-0.273,2.021
69057,-0.322,2.100
69223,-0.332,2.158
69389,-0.371,2.217
69555,-0.449,2.256
69721,-0.449,2.314
69887,-0.576,2.344
70053,-0.498,2.383
70219,-0.518,2.412
70385,-0.547,2.441
70551,-0.498,2.471
70717,-0.527,2.510
70883,-0.615,2.520
71049,-0.576,2.588
71215,-0.752,2.617
71381,-0.605,2.705
71547,-0.693,2.764
71713,-0.684,2.803
71879,-0.684,2.871
72045,-0.674,2.900
72211,-0.723,2.910
72377,-0.732,2.891
72543,-0.742,2.842
72709,-0.605,2.725
72875,-0.840,2.598
73041,-0.713,2.480
73207,-0.703,2.354
73373,-0.752,2.256
73539,-0.684,2.129
73705,-0.693,2.002
73871,-0.811,1.885
74037,-0.654,1.748
74203,-0.605,1.611
74369,-0.801,1.465
74535,-0.781,1.279
74701,-0.674,1.104
74867,-0.635,0.918
75033,-0.703,0.723
75199,-0.732,0.537
75365,-0.732,0.391
75531,-0.703,0.234
75697,-0.566,0.078
75863,-0.586,-0.078
76029,-0.742,-0.254
76195,-0.684,-0.400
76361,-0.566,-0.547
76527,-0.586,-0.684
76693,-0.615,-0.820
76859,-0.488,-0.947
77025,-0.537,-1.094
77191,-0.400,-1.172
77357,-0.352,-1.270
77523,-0.195,-1.367
77689,-0.313,-1.455
77855,-0.186,-1.553
78021,-0.049,-1.631
78187,-0.137,-1.719
78353,-0.020,-1.797
78519,0.049,-1.875
78685,0.156,-1.934
78851,0.098,-2.021
79017,0.127,-2.100
79183,0.156,-2.158
79349,0.244,-2.217
79515,0.244,-2.256
79681,0.254,-2.295
79847,0.273,-2.354
80013,0.361,-2.393
80179,0.313,-2.422
80345,0.430,-2.471
80511,0.371,-2.500
80677,0.400,-2.539
80843,0.322,-2.578
81009,0.342,-2.598
81175,0.410,-2.637
81341,0.420,-2.686
81507,0.439,-2.754
81673,0.410,-2.793
81839,0.410,-2.881
82005,0.537,-2.900
82171,0.557,-2.939
82337,0.576,-2.930
82503,0.566,-2.900
82669,0.527,-2.822
82835,0.547,-2.656
83001,0.547,-2.549
83167,0.674,-2.432
83333,0.537,-2.305
83499,0.576,-2.188
83665,0.576,-2.070
83831,0.625,-1.943
83997,0.557,-1.826
84163,0.439,-1.670
84329,0.537,-1.523
84495,0.576,-1.367
84661,0.449,-1.172
84827,0.508,-0.996
84993,0.527,-0.791
85159,0.498,-0.615
85325,0.605,-0.459
85491,0.508,-0.293
85657,0.508,-0.127
85823,0.420,0.020
85989,0.479,0.195
86155,0.430,0.332
86321,0.488,0.488
86487,0.420,0.625
86653,0.361,0.762
86819,0.283,0.908
86985,0.254,1.006
87151,0.352,1.113
87317,0.098,1.230
87483,-0.010,1.328
87649,-0.020,1.406
87815,0.039,1.523
87981,-0.049,1.592
88147,-0.088,1.680
88313,-0.137,1.748
88479,-0.137,1.816
88645,-0.264,1.914
88811,-0.371,1.973
88977,-0.342,2.051
89143,-0.283,2.129
89309,-0.439,2.188
89475,-0.361,2.236
89641,-0.527,2.285
89807,-0.449,2.305
89973,-0.488,2.363
90139,-0.508,2.402
90305,-0.459,2.432
90471,-0.498,2.471
90637,-0.537,2.490
90803,-0.605,2.539
90969,-0.537,2.549
91135,-0.674,2.607
91301,-0.576,2.666
91467,-0.596,2.734
91633,-0.527,2.783
91799,-0.635,2.842
91965,-0.703,2.900
92131,-0.693,2.920
92297,-0.645,2.920
92463,-0.732,2.871
92629,-0.732,2.803
92795,-0.752,2.646
92961,-0.703,2.529
93127,-0.723,2.422
93293,-0.684,2.305
93459,-0.732,2.188
93625,-0.684,2.061
93792,-0.801,1.953
93958,-0.674,1.816
94124,-0.703,1.680
94290,-0.674,1.543
94456,-0.723,1.377
94622,-0.674,1.191
94788,-0.713,1.006
94954,-0.801,0.811
95120,-0.664,0.615
95286,-0.752,0.449
95452,-0.576,0.303
95618,-0.684,0.137
95784,-0.586,0.000
95950,-0.635,-0.156
96116,-0.703,-0.322
96282,-0.615,-0.479
96448,-0.654,-0.615
96614,-0.527,-0.752
96780,-0.508,-0.898
96946,-0.459,-1.016
97112,-0.410,-1.133
97278,-0.342,-1.221
97444,-0.400,-1.328
97610,-0.195,-1.416
97776,-0.098,-1.504
97942,-0.176,-1.602
98108,-0.186,-1.670
98274,0.010,-1.758
98440,-0.049,-1.826
98606,0.186,-1.914
98772,0.078,-1.982
98938,0.098,-2.070
99104,0.098,-2.139
99270,0.117,-2.197
99436,0.234,-2.256
99602,0.225,-2.275
99768,0.254,-2.344
99934,0.254,-2.383
100100,0.322,-2.412
100266,0.400,-2.471
100432,0.381,-2.480
100598,0.371,-2.510
100764,0.361,-2.559
100930,0.439,-2.588
101096,0.479,-2.617
101262,0.322,-2.656
101428,0.459,-2.734
