,Канал: 0,Канал: 1
66000,0.732,-1.992
66250,0.576,-1.729
66500,0.498,-1.436
66750,0.566,-1.113
67000,0.605,-0.811
67250,0.439,-0.527
67500,0.576,-0.254
67750,0.479,0.010
68000,0.508,0.264
68250,0.342,0.508
68500,0.488,0.752
68750,0.391,0.977
69000,0.313,1.162
69250,0.137,1.338
69500,0.098,1.514
69750,-0.049,1.670
70000,-0.068,1.816
70250,-0.293,1.943
70500,-0.303,2.070
70750,-0.273,2.207
71000,-0.400,2.344
71250,-0.420,2.451
71500,-0.537,2.529
71750,-0.518,2.607
72000,-0.615,2.666
72250,-0.527,2.744
72500,-0.693,2.793
72750,-0.586,2.852
73000,-0.693,2.939
73250,-0.732,3.057
73500,-0.713,3.164
73750,-0.859,3.271
74000,-0.791,3.301
74250,-0.908,3.291
74500,-0.859,3.193
74750,-0.850,2.969
75000,-0.859,2.773
75250,-0.840,2.588
75500,-0.840,2.383
75750,-0.859,2.178
76000,-0.869,1.953
76250,-0.938,1.689
76500,-1.006,1.406
76750,-0.869,1.094
77000,-0.869,0.781
77250,-0.762,0.498
77500,-0.830,0.234
77750,-0.801,-0.039
78000,-0.820,-0.293
78250,-0.742,-0.557
78500,-0.820,-0.771
78750,-0.684,-1.006
79000,-0.586,-1.201
79250,-0.566,-1.367
79500,-0.459,-1.533
79750,-0.293,-1.689
80000,-0.234,-1.826
80250,-0.195,-1.973
80500,-0.059,-2.100
80750,0.088,-2.227
81000,0.049,-2.354
81250,0.176,-2.451
81500,0.215,-2.539
81750,0.225,-2.617
82000,0.195,-2.705
82250,0.264,-2.764
82500,0.283,-2.822
82750,0.391,-2.881
83000,0.313,-2.949
83250,0.391,-3.037
83500,0.420,-3.164
83750,0.479,-3.281
84000,0.420,-3.350
84250,0.518,-3.320
84500,0.596,-3.262
84750,0.576,-3.037
85000,0.635,-2.832
85250,0.596,-2.637
85500,0.537,-2.422
85750,0.654,-2.227
86000,0.576,-1.982
86250,0.586,-1.729
86500,0.615,-1.445
86750,0.596,-1.133
87000,0.537,-0.820
87250,0.566,-0.527
87500,0.439,-0.264
87750,0.586,0.010
88000,0.508,0.254
88250,0.488,0.537
88500,0.391,0.762
88750,0.420,0.967
89000,0.234,1.162
89250,0.254,1.357
89500,0.059,1.523
89750,-0.068,1.680
90000,-0.166,1.816
90250,-0.225,1.963
90500,-0.352,2.090
90750,-0.322,2.207
91000,-0.508,2.344
91250,-0.498,2.461
91500,-0.459,2.539
91750,-0.615,2.607
92000,-0.596,2.666
92250,-0.605,2.744
92500,-0.645,2.773
