ангстремы	R	G_1	G_2	B
4816.152721	-174.512154	-109.868596	-114.165246	-77.049718
4816.183150	-174.482175	-109.846648	-114.167118	-76.896200
4816.213580	-174.437839	-109.837463	-114.188132	-76.808094
4816.244011	-174.383935	-109.864967	-114.188407	-76.750301
4816.274443	-174.275799	-109.895661	-114.187087	-76.721225
4816.304875	-174.175643	-109.913592	-114.165031	-76.768714
4816.335308	-174.091443	-109.971399	-114.155736	-76.824177
4816.365742	-174.024792	-110.021227	-114.108161	-76.929083
4816.396177	-173.918270	-110.080623	-114.081323	-77.032388
4816.426612	-173.819727	-110.144800	-114.097550	-77.165992
4816.457049	-173.778607	-110.196215	-114.097826	-77.302779
4816.487486	-173.780549	-110.228489	-114.072585	-77.428395
4816.517924	-173.772923	-110.255976	-114.037776	-77.568358
4816.548362	-173.757323	-110.289841	-114.015727	-77.732235
4816.578802	-173.797539	-110.302973	-113.968163	-77.843478
4816.609242	-173.815428	-110.359161	-113.944522	-77.918036
4816.639683	-173.823747	-110.381858	-113.922477	-77.957508
4816.670124	-173.808146	-110.391796	-113.911595	-77.949139
4816.700567	-173.829222	-110.408113	-113.892741	-77.950338
4816.731010	-173.840729	-110.422833	-113.824456	-77.957915
4816.761454	-173.823534	-110.435959	-113.746608	-77.944763
4816.791899	-173.774450	-110.442706	-113.673548	-77.925233
4816.822345	-173.752475	-110.444669	-113.600490	-77.857872
4816.852791	-173.771953	-110.394017	-113.516276	-77.752249
4816.883238	-173.786648	-110.364095	-113.468736	-77.689679
4816.913686	-173.838011	-110.308665	-113.419604	-77.623923
4816.944135	-173.908502	-110.280340	-113.362503	-77.577302
4816.974584	-173.969424	-110.274335	-113.322941	-77.527494
4817.005034	-173.998459	-110.263548	-113.310482	-77.474501
4817.035485	-174.038651	-110.249573	-113.310777	-77.434263
4817.065937	-174.061306	-110.229223	-113.366865	-77.421127
4817.096390	-174.114247	-110.207279	-113.435702	-77.404803
4817.126843	-174.140087	-110.185337	-113.504536	-77.413985
4817.157297	-174.108542	-110.187305	-113.589305	-77.445481
4817.187752	-174.049902	-110.160582	-113.659725	-77.484946
4817.218208	-173.954605	-110.109951	-113.709421	-77.487748
4817.248664	-173.840187	-110.022665	-113.762302	-77.452299
4817.279122	-173.760838	-109.924227	-113.789679	-77.429601
4817.309580	-173.699025	-109.833762	-113.777210	-77.430811
4817.340039	-173.622871	-109.759239	-113.787054	-77.408115
4817.370498	-173.591343	-109.718187	-113.731556	-77.345578
4817.400958	-173.545475	-109.658014	-113.668093	-77.268701
4817.431420	-173.509170	-109.602624	-113.596664	-77.147207
4817.461882	-173.519081	-109.558392	-113.504523	-76.997035
4817.492344	-173.549706	-109.549219	-113.412387	-76.819780
4817.522808	-173.610606	-109.573510	-113.334596	-76.672811
4817.553272	-173.661942	-109.604174	-113.264777	-76.589587
4817.583737	-173.660693	-109.638023	-113.201334	-76.514334
4817.614203	-173.681751	-109.635222	-113.137895	-76.391284
4817.644669	-173.715555	-109.634015	-113.056932	-76.274614
4817.675137	-173.712710	-109.602535	-112.999873	-76.189815
4817.705605	-173.701900	-109.586990	-112.934850	-76.148038
4817.736074	-173.714988	-109.566665	-112.885763	-76.119008
4817.766544	-173.721703	-109.551121	-112.851016	-76.088387
4817.797014	-173.737976	-109.506902	-112.793967	-76.073698
4817.827485	-173.743096	-109.443567	-112.741700	-76.071755
4817.857957	-173.796007	-109.431213	-112.686250	-76.050695
4817.888430	-173.875996	-109.417267	-112.676999	-76.013707
4817.918904	-173.920935	-109.446331	-112.670935	-76.035659
4817.949378	-173.964280	-109.438756	-112.680800	-76.036902
4817.979853	-174.006029	-109.440739	-112.705000	-75.993545
4818.010329	-174.047776	-109.480949	-112.735570	-75.910369
4818.040806	-174.056071	-109.540271	-112.751803	-75.865425
4818.071283	-174.051625	-109.594812	-112.776000	-75.869857
4818.101762	-174.020102	-109.671647	-112.847976	-75.856770
4818.132241	-173.986988	-109.765998	-112.915170	-75.858017
4818.162721	-173.907689	-109.810973	-113.015806	-75.872005
4818.193201	-173.866616	-109.840019	-113.079808	-75.892363
4818.223683	-173.838286	-109.846768	-113.156546	-75.880869
4818.254165	-173.798809	-109.882181	-113.226910	-75.931483
4818.284648	-173.783221	-109.901668	-113.278161	-76.042608
4818.315131	-173.786743	-109.879751	-113.326224	-76.183983
4818.345616	-173.806188	-109.838726	-113.390209	-76.309428
4818.376101	-173.816079	-109.781780	-113.466929	-76.374356
4818.406587	-173.851445	-109.704137	-113.495876	-76.432912
4818.437074	-173.883625	-109.610575	-113.524821	-76.451659
4818.467562	-173.918987	-109.521794	-113.477338	-76.430599
4818.498050	-173.890660	-109.439386	-113.426673	-76.412724
4818.528539	-173.863927	-109.368128	-113.369641	-76.393258
4818.559029	-173.845155	-109.282544	-113.301468	-76.281451
4818.589520	-173.837529	-109.209700	-113.258772	-76.158505
4818.620011	-173.786918	-109.141637	-113.222445	-76.022829
4818.650504	-173.733126	-109.057657	-113.173384	-75.896712
4818.680997	-173.703215	-108.984825	-113.068608	-75.797664
4818.711491	-173.655795	-108.943834	-112.990900	-75.747970
4818.741985	-173.605193	-108.926723	-112.914787	-75.747627
4818.772481	-173.580063	-108.930307	-112.919860	-75.740915
4818.802977	-173.609054	-108.943441	-112.926525	-75.734204
4818.833474	-173.626902	-108.935882	-112.949107	-75.700434
4818.863972	-173.651115	-108.949014	-112.989196	-75.717600
4818.894470	-173.632352	-108.984430	-112.971983	-75.693382
4818.924969	-173.658155	-109.027801	-112.946814	-75.634149
4818.955469	-173.696689	-109.101410	-112.913687	-75.579694
4818.985970	-173.693842	-109.179790	-112.910801	-75.565030
4819.016472	-173.689402	-109.239068	-112.896775	-75.520129
4819.046974	-173.651543	-109.272879	-112.858878	-75.413163
4819.077478	-173.586631	-109.287592	-112.754143	-75.341213
4819.107982	-173.466024	-109.294346	-112.615995	-75.274042
4819.138486	-173.359746	-109.324971	-112.444436	-75.264161
4819.168992	-173.266202	-109.342863	-112.242651	-75.260646
4819.199498	-173.214036	-109.319382	-112.112482	-75.279409
4819.230005	-173.144369	-109.256122	-111.996641	-75.353862
4819.260513	-173.052430	-109.165815	-111.904673	-75.390124
4819.291022	-172.993908	-109.058011	-111.820665	-75.369104
4819.321531	-172.948118	-108.935892	-111.741435	-75.327400
4819.352041	-172.970745	-108.815370	-111.678119	-75.319110
4819.382552	-173.007689	-108.683717	-111.617988	-75.314003
4819.413064	-173.093952	-108.558435	-111.610362	-75.283440
4819.443577	-173.170664	-108.414068	-111.626600	-75.197197
4819.474090	-173.221918	-108.258572	-111.660337	-75.112549
4819.504604	-173.263624	-108.115811	-111.652710	-75.031087
4819.535119	-173.324418	-108.019190	-111.592587	-74.916222
4819.565635	-173.385208	-107.932118	-111.507015	-74.820452
4819.596151	-173.438041	-107.856186	-111.438945	-74.743776
4819.626669	-173.484509	-107.789802	-111.366106	-74.679829
4819.657187	-173.492799	-107.747280	-111.290090	-74.611113
4819.687705	-173.510632	-107.727029	-111.247480	-74.523313
4819.718225	-173.526873	-107.717913	-111.192147	-74.467329
4819.748745	-173.546295	-107.719930	-111.149542	-74.427253
4819.779266	-173.565715	-107.723538	-111.106938	-74.366503
4819.809788	-173.558096	-107.727146	-111.064337	-74.294622
4819.840311	-173.515490	-107.740295	-111.078991	-74.214793
4819.870835	-173.490379	-107.767757	-111.112729	-74.155643
