Сила тока в линзе, А	Частота импульсов, Гц
0.00	0.917
0.20	0.930
0.40	0.960
0.60	1.010
0.80	0.960
1.00	1.290
1.20	1.719
1.40	1.999
1.60	2.739
1.80	3.179
2.00	3.609
2.20	4.279
2.40	3.679
2.60	3.769
2.80	3.599
3.00	3.189
3.20	2.249
3.40	1.550
3.60	1.230
3.70	1.280
3.75	1.490
3.80	1.610
4.00	2.589
4.20	3.089
4.40	1.949
4.60	0.780
4.80	0.520
5.00	0.510
