Сила тока в линзе, А	Частота импульсов, Гц
0.00	0.522
0.20	0.650
0.40	0.650
0.60	0.510
0.80	0.740
1.00	1.180
1.20	2.089
1.40	4.569
1.60	6.388
1.80	8.428
2.00	10.257
2.20	11.267
2.40	12.037
2.60	11.087
2.80	10.387
3.00	8.987
3.20	6.838
3.40	4.329
3.60	1.969
3.80	1.829
3.90	1.809
3.95	2.049
4.00	3.089
4.05	5.019
4.10	6.998
4.15	9.937
4.20	12.106
4.25	13.556
4.30	13.516
4.35	11.997
4.40	10.967
4.45	7.578
4.50	4.609
4.60	2.349
4.80	0.510
