U[V], I[uA]
71.76, 371.3
71.75, 371.3
11.75, 371.6
11.74, 371.6
11.74, 371.7
71.74, 371.7
71.74, 371.9
71.75, 371.9
71.75, 372.2
71.74, 372.2
11.74, 372.2
71.74, 372.2
71.74, 372.4
11.74, 372.4
71.74, 372.4
71.74, 371.9
12.05, 371.9
72.05, 371.9
12.05, 371.9
12.05, 372.8
72.05, 372.8
72.08, 372.8
72.08, 373.1
72.09, 373.1
72.09, 372.3
12.09, 372.3
72.09, 372.3
12.09, 372.3
12.09, 373.2
12.09, 373.3
72.09, 373.3
12.09, 373.3
12.09, 372.9
72.09, 372.9
72.09, 372.8
72.1, 372.8
72.1, 374.7
72.74, 374.7
72.74, 374.8
72.75, 374.8
72.75, 374.5
72.74, 374.5
72.74, 375.2
72.76, 375.2
72.76, 375.0
72.75, 375.0
72.75, 374.6
72.75, 374.5
72.75, 374.6
72.76, 374.6
72.76, 375.4
73.23, 375.4
73.23, 377.4
73.38, 377.4
73.38, 377.0
73.38, 376.9
73.38, 376.8
73.37, 376.8
73.37, 376.2
73.38, 376.2
73.38, 376.4
73.37, 376.4
73.37, 377.7
73.56, 377.7
73.56, 377.0
73.55, 377.0
73.55, 376.6
73.55, 376.9
73.55, 377.4
73.55, 377.7
73.55, 377.8
73.55, 377.9
73.55, 377.6
73.55, 377.8
73.55, 377.6
71.58, 377.6
71.58, 291.9
35.36, 291.9
35.36, 83.9
