U[V], I[uA]
49.3, 337.6
49.3, 337.4
49.27, 337.4
49.27, 337.6
49.28, 337.6
49.28, 337.5
49.28, 337.6
49.29, 341.4
58.01, 341.4
58.01, 342.5
58.01, 342.4
50.01, 342.4
50.01, 342.5
58.01, 342.5
50.01, 342.6
58.01, 342.6
58.01, 342.7
50.01, 342.7
58.01, 342.7
50.01, 342.7
58.01, 342.7
58.01, 342.9
58.02, 342.9
50.02, 342.9
50.02, 343.3
58.02, 343.3
50.03, 343.3
58.03, 343.3
58.03, 343.6
58.77, 343.6
50.77, 343.6
58.77, 343.6
50.77, 349.9
50.89, 349.9
50.89, 349.7
50.89, 349.8
58.89, 349.8
50.89, 349.8
50.89, 349.9
58.89, 349.9
50.89, 349.9
58.89, 349.9
50.89, 349.9
58.89, 349.9
58.89, 349.6
50.89, 349.6
58.89, 349.2
58.87, 349.2
58.87, 350.3
50.87, 350.3
51.2, 350.3
51.2, 351.3
51.19, 351.3
51.19, 350.8
51.19, 350.9
51.19, 351.1
51.2, 351.1
51.2, 351.2
51.21, 351.2
51.21, 354.8
51.7, 354.8
51.7, 355.0
51.7, 355.1
51.71, 355.1
51.71, 355.3
51.71, 355.4
51.71, 355.5
51.72, 355.5
51.72, 355.7
51.72, 356.2
52.64, 360.9
52.64, 365.0
52.67, 365.0
52.67, 365.1
52.67, 364.9
52.67, 364.8
52.67, 364.9
52.68, 364.9
52.99, 364.5
52.99, 369.8
53.23, 369.8
53.23, 369.9
53.23, 369.3
53.22, 369.3
53.22, 369.2
53.22, 369.3
53.22, 369.4
53.21, 369.4
53.21, 369.2
53.21, 369.3
53.21, 369.5
53.23, 369.5
53.23, 369.8
53.22, 369.8
53.22, 369.6
53.17, 369.6
53.17, 371.7
53.46, 371.7
53.46, 371.8
53.47, 371.8
53.47, 371.9
53.47, 371.8
53.46, 371.8
53.46, 371.7
53.48, 371.7
53.48, 372.6
53.49, 372.6
53.49, 372.7
53.49, 372.6
53.48, 372.6
53.46, 372.6
53.46, 378.3
53.46, 375.3
53.79, 375.3
53.79, 375.4
53.88, 375.4
53.8, 375.4
53.8, 375.3
53.8, 375.4
53.81, 375.4
53.81, 375.7
53.81, 375.5
53.71, 375.5
53.79, 375.5
53.79, 375.0
53.79, 375.1
53.79, 375.8
54.19, 375.8
54.16, 375.8
54.16, 375.1
54.16, 379.1
54.26, 379.1
54.21, 379.1
54.21, 379.0
54.22, 379.0
54.22, 379.6
54.22, 378.6
54.21, 378.6
54.21, 378.7
54.22, 378.7
54.22, 378.2
54.22, 379.2
54.22, 379.3
54.23, 379.3
54.22, 379.3
54.22, 379.2
54.22, 379.3
54.22, 379.2
54.23, 379.2
54.23, 379.4
54.23, 379.7
54.33, 379.7
54.33, 381.5
55.06, 381.5
55.06, 381.8
55.06, 388.0
55.1, 388.0
55.1, 388.8
55.1, 388.2
55.1, 388.4
55.1, 388.6
55.11, 388.6
55.11, 388.8
55.11, 388.7
55.11, 388.8
55.11, 389.1
55.12, 389.1
55.12, 389.0
55.11, 389.0
55.11, 389.8
55.11, 388.8
55.12, 388.8
55.12, 393.1
55.57, 393.1
55.57, 392.8
55.56, 392.8
55.56, 392.4
55.55, 392.4
55.55, 392.9
55.55, 392.8
55.55, 392.2
55.54, 392.2
55.54, 392.8
55.54, 392.4
55.55, 392.4
55.55, 392.9
55.55, 392.5
55.55, 392.3
55.52, 392.3
55.52, 399.5
56.64, 399.5
56.64, 402.2
56.65, 402.2
56.65, 402.3
56.65, 402.4
56.66, 402.4
56.66, 402.5
56.66, 402.6
56.66, 402.7
56.66, 402.6
56.66, 403.4
56.69, 403.4
56.69, 403.8
56.68, 403.8
56.68, 404.1
56.72, 404.1
56.72, 404.0
56.73, 404.0
56.73, 404.7
56.82, 404.7
56.82, 408.7
57.33, 408.7
57.33, 408.8
57.33, 408.9
57.33, 408.8
57.33, 408.6
57.32, 408.6
57.32, 408.5
57.32, 409.0
58.1, 409.0
58.1, 416.0
58.45, 416.0
58.45, 416.4
58.45, 416.5
58.46, 416.5
58.46, 416.4
58.42, 416.4
58.42, 418.5
58.84, 419.0
58.85, 419.0
58.85, 419.2
58.85, 419.3
58.85, 419.1
58.85, 419.2
58.86, 419.2
58.86, 419.4
59.02, 419.4
59.02, 422.9
59.31, 422.9
59.31, 423.0
59.32, 423.0
59.32, 423.1
59.31, 423.1
59.31, 422.6
59.31, 422.7
59.31, 422.8
59.31, 422.9
59.33, 422.9
59.33, 424.9
59.96, 424.9
59.96, 426.4
59.96, 425.6
59.94, 425.6
59.94, 425.4
59.94, 425.7
59.93, 425.7
59.93, 425.0
59.94, 425.4
59.92, 425.4
59.92, 427.3
68.36, 427.3
60.36, 427.3
68.36, 427.3
68.36, 427.2
68.36, 427.4
60.36, 427.4
68.36, 427.4
68.36, 427.5
68.35, 427.5
60.35, 427.5
68.35, 427.5
60.35, 426.9
68.35, 426.9
60.35, 426.9
60.35, 427.1
68.35, 427.1
60.35, 427.1
60.34, 427.1
68.34, 427.1
60.34, 427.0
60.35, 427.0
60.35, 427.1
68.35, 427.1
68.49, 427.1
68.49, 428.4
60.68, 428.4
68.68, 428.4
68.68, 428.5
68.69, 429.2
60.69, 429.2
60.73, 429.2
68.73, 429.2
60.73, 429.2
60.73, 429.9
60.92, 429.9
68.92, 430.3
60.92, 430.3
60.93, 430.3
68.93, 430.4
60.93, 430.4
60.93, 430.3
68.93, 430.3
68.93, 430.0
68.92, 430.0
68.92, 430.3
68.93, 430.3
68.93, 430.2
60.93, 430.2
68.93, 430.2
68.93, 430.3
60.93, 430.3
68.93, 430.3
68.99, 430.3
68.99, 431.3
61.54, 431.3
61.54, 432.2
61.68, 432.2
61.68, 432.3
61.67, 432.3
61.67, 432.2
61.67, 432.3
61.67, 432.2
61.67, 432.3
61.67, 432.6
61.67, 432.4
61.67, 432.6
61.68, 432.4
61.91, 432.4
61.91, 434.2
62.28, 434.2
62.28, 434.5
62.28, 434.4
62.27, 434.4
62.27, 434.1
62.27, 434.6
62.29, 434.6
62.29, 435.2
62.29, 435.1
62.29, 435.0
62.31, 435.0
62.31, 435.3
62.64, 435.3
62.64, 435.6
62.63, 435.6
62.63, 435.4
62.64, 435.4
62.64, 436.1
62.65, 436.1
62.65, 436.4
62.66, 436.4
62.66, 436.5
62.65, 436.5
62.65, 436.4
62.65, 436.3
62.66, 436.3
62.66, 437.4
63.19, 437.4
63.19, 437.3
63.29, 437.3
63.29, 437.4
63.28, 437.4
63.28, 437.0
63.27, 437.0
63.28, 437.0
63.28, 437.4
63.29, 437.4
63.29, 437.8
63.29, 438.1
63.4, 438.1
63.4, 439.5
63.97, 439.6
63.97, 448.0
63.97, 440.0
63.99, 440.0
63.99, 440.4
64.0, 440.4
64.15, 440.6
64.15, 442.8
64.15, 442.0
64.67, 442.0
64.67, 441.8
64.67, 441.9
64.67, 442.0
64.67, 442.2
64.67, 441.9
64.66, 441.9
64.67, 441.9
64.67, 442.1
65.03, 442.1
65.03, 442.7
65.23, 442.7
65.23, 442.6
65.23, 442.8
65.23, 442.9
65.23, 443.0
65.24, 443.0
65.23, 443.0
65.23, 443.1
65.38, 443.1
65.38, 443.7
65.77, 443.7
65.77, 444.9
66.17, 444.9
66.17, 445.0
66.17, 444.9
66.17, 494.9
66.17, 444.9
66.17, 445.1
66.17, 444.9
66.17, 445.3
66.19, 445.3
66.19, 445.6
66.88, 447.3
66.98, 447.3
66.98, 447.8
67.74, 447.8
67.74, 449.1
67.73, 449.1
67.73, 449.2
67.74, 449.2
67.73, 449.2
67.72, 448.9
68.92, 452.2
68.92, 452.1
68.91, 452.1
68.91, 451.7
68.9, 451.7
68.9, 451.8
68.91, 451.8
68.91, 452.0
68.91, 452.1
68.91, 452.2
68.91, 452.1
68.91, 452.0
68.91, 452.1
68.92, 452.1
68.92, 452.8
68.91, 452.8
68.91, 454.9
69.63, 454.9
69.63, 455.1
69.64, 455.1
69.64, 455.3
69.66, 455.3
69.66, 455.4
78.02, 455.4
78.02, 458.3
70.02, 458.3
78.02, 458.3
70.02, 458.3
70.29, 458.2
70.28, 458.2
70.28, 457.8
70.27, 457.8
70.28, 457.8
78.28, 957.8
78.28, 457.8
70.28, 457.8
70.52, 457.8
78.52, 959.7
78.52, 459.7
78.89, 459.7
70.89, 459.7
78.89, 459.7
78.89, 459.8
78.89, 459.9
70.89, 459.9
70.89, 460.1
70.9, 460.1
70.9, 460.2
70.9, 460.8
70.93, 460.3
70.93, 462.2
71.45, 462.2
71.45, 462.4
71.46, 462.4
71.47, 462.8
71.47, 462.9
72.12, 462.9
72.12, 468.8
72.12, 466.2
72.26, 466.2
72.26, 466.1
72.26, 466.0
72.26, 466.2
72.26, 465.9
72.25, 465.9
72.25, 466.2
72.25, 466.0
72.25, 466.2
72.25, 466.3
72.26, 466.3
88.88, 888.8
